# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0+BSN        BSN    N_tr    B2      B4
# 
20 20 12 7.83916702e+01 7.83916702e+01 1.56465820e+02 4.28161016e+04 1.59521484e+04 3.05071200e+06 -4.50208691e+03 -6.32685938e+03
20 20 14 7.83916702e+01 7.83916702e+01 1.31471008e+02 4.21731523e+04 1.48378711e+04 3.56467225e+06 1.42934729e+03 -4.06160376e+03
20 20 16 7.83916702e+01 7.83916702e+01 1.04202759e+02 3.73935898e+04 1.36222451e+04 4.05842375e+06 1.99231982e+03 1.36748755e+03
20 20 18 7.83916702e+01 7.83916702e+01 8.87933197e+01 3.45988672e+04 1.29352871e+04 4.61301600e+06 -1.33222900e+03 -1.54576013e+03
20 20 20 7.83916702e+01 7.83916702e+01 7.83916702e+01 2.76268242e+04 1.24715781e+04 5.13283200e+06 -6.87109326e+03 4.95314111e+03
22 12 10 7.16902695e+01 1.56465820e+02 1.90377258e+02 8.19095312e+04 2.06457480e+04 8.11898000e+05 4.25548281e+04 2.63593730e+04
22 12 12 7.16902695e+01 1.56465820e+02 1.56465820e+02 6.64312422e+04 1.91339668e+04 1.92611400e+06 3.26880684e+04 -3.41993579e+03
22 14 8 7.16902695e+01 1.31471008e+02 2.20283844e+02 9.20315312e+04 2.08647168e+04 7.40114000e+05 5.16632695e+04 4.30937344e+04
22 14 10 7.16902695e+01 1.31471008e+02 1.90377258e+02 8.51715156e+04 1.95314727e+04 1.89929400e+06 6.17031211e+04 2.85054316e+04
22 14 12 7.16902695e+01 1.31471008e+02 1.56465820e+02 6.38297891e+04 1.80196895e+04 2.30868000e+06 2.67894238e+04 6.07656396e+03
22 14 14 7.16902695e+01 1.31471008e+02 1.31471008e+02 5.43616172e+04 1.69054141e+04 2.69323200e+06 9.78362793e+03 2.88938818e+03
22 16 6 7.16902695e+01 1.04202759e+02 3.13019745e+02 1.10934273e+05 2.37832871e+04 6.11954000e+05 7.15877969e+04 3.67504414e+04
22 16 8 7.16902695e+01 1.04202759e+02 2.20283844e+02 7.54128125e+04 1.96490898e+04 1.71858600e+06 2.32854883e+04 -2.51240957e+04
22 16 10 7.16902695e+01 1.04202759e+02 1.90377258e+02 6.62883203e+04 1.83158457e+04 2.21736000e+06 2.24291641e+04 -1.10608438e+04
22 16 12 7.16902695e+01 1.04202759e+02 1.56465820e+02 4.99180703e+04 1.68040645e+04 2.62692000e+06 4.27310107e+03 -1.42439087e+03
